Features ('age', 'workclass', 'education', 'education-num', 'marital-status', 'occupation', 'capital-gain'): Before training: 0.7543160690571049 After training: 0.8414342629482072
Features ('age', 'workclass', 'education', 'education-num', 'marital-status', 'occupation', 'capital-loss'): Before training: 0.7543160690571049 After training: 0.8337981407702523
Features ('age', 'workclass', 'education', 'education-num', 'marital-status', 'occupation', 'sex'): Before training: 0.7543160690571049 After training: 0.8285524568393094
Features ('age', 'workclass', 'education', 'education-num', 'marital-status', 'occupation', 'hours-per-week'): Before training: 0.7543160690571049 After training: 0.8298804780876494
Features ('age', 'workclass', 'education', 'education-num', 'marital-status', 'capital-gain', 'capital-loss'): Before training: 0.7543160690571049 After training: 0.8411686586985392
Features ('age', 'workclass', 'education', 'education-num', 'marital-status', 'capital-gain', 'sex'): Before training: 0.7543160690571049 After training: 0.8360557768924303
Features ('age', 'workclass', 'education', 'education-num', 'marital-status', 'capital-gain', 'hours-per-week'): Before training: 0.7543160690571049 After training: 0.8381142098273573
Features ('age', 'workclass', 'education', 'education-num', 'marital-status', 'capital-loss', 'sex'): Before training: 0.7543160690571049 After training: 0.8254980079681274
Features ('age', 'workclass', 'education', 'education-num', 'marital-status', 'capital-loss', 'hours-per-week'): Before training: 0.7543160690571049 After training: 0.8288844621513944
Features ('age', 'workclass', 'education', 'education-num', 'marital-status', 'sex', 'hours-per-week'): Before training: 0.7543160690571049 After training: 0.8227755644090305
Features ('age', 'workclass', 'education', 'education-num', 'occupation', 'capital-gain', 'capital-loss'): Before training: 0.7543160690571049 After training: 0.8190571049136787
Features ('age', 'workclass', 'education', 'education-num', 'occupation', 'capital-gain', 'sex'): Before training: 0.7543160690571049 After training: 0.8232403718459496
Features ('age', 'workclass', 'education', 'education-num', 'occupation', 'capital-gain', 'hours-per-week'): Before training: 0.7543160690571049 After training: 0.8175962815405047
Features ('age', 'workclass', 'education', 'education-num', 'occupation', 'capital-loss', 'sex'): Before training: 0.7543160690571049 After training: 0.8097609561752988
Features ('age', 'workclass', 'education', 'education-num', 'occupation', 'capital-loss', 'hours-per-week'): Before training: 0.7543160690571049 After training: 0.804316069057105
Features ('age', 'workclass', 'education', 'education-num', 'occupation', 'sex', 'hours-per-week'): Before training: 0.7543160690571049 After training: 0.8062416998671978
Features ('age', 'workclass', 'education', 'education-num', 'capital-gain', 'capital-loss', 'sex'): Before training: 0.7543160690571049 After training: 0.8241699867197875
Features ('age', 'workclass', 'education', 'education-num', 'capital-gain', 'capital-loss', 'hours-per-week'): Before training: 0.7543160690571049 After training: 0.8219123505976096
Features ('age', 'workclass', 'education', 'education-num', 'capital-gain', 'sex', 'hours-per-week'): Before training: 0.7543160690571049 After training: 0.8196547144754316
Features ('age', 'workclass', 'education', 'education-num', 'capital-loss', 'sex', 'hours-per-week'): Before training: 0.7543160690571049 After training: 0.8074369189907038
Features ('age', 'workclass', 'education', 'marital-status', 'occupation', 'capital-gain', 'capital-loss'): Before training: 0.7543160690571049 After training: 0.8464143426294821
Features ('age', 'workclass', 'education', 'marital-status', 'occupation', 'capital-gain', 'sex'): Before training: 0.7543160690571049 After training: 0.8425630810092961
Features ('age', 'workclass', 'education', 'marital-status', 'occupation', 'capital-gain', 'hours-per-week'): Before training: 0.7543160690571049 After training: 0.8443559096945551
Features ('age', 'workclass', 'education', 'marital-status', 'occupation', 'capital-loss', 'sex'): Before training: 0.7543160690571049 After training: 0.8321381142098273
Features ('age', 'workclass', 'education', 'marital-status', 'occupation', 'capital-loss', 'hours-per-week'): Before training: 0.7543160690571049 After training: 0.8342629482071713
Features ('age', 'workclass', 'education', 'marital-status', 'occupation', 'sex', 'hours-per-week'): Before training: 0.7543160690571049 After training: 0.8295484727755644
Features ('age', 'workclass', 'education', 'marital-status', 'capital-gain', 'capital-loss', 'sex'): Before training: 0.7543160690571049 After training: 0.8403718459495352
Features ('age', 'workclass', 'education', 'marital-status', 'capital-gain', 'capital-loss', 'hours-per-week'): Before training: 0.7543160690571049 After training: 0.8434926958831341
Features ('age', 'workclass', 'education', 'marital-status', 'capital-gain', 'sex', 'hours-per-week'): Before training: 0.7543160690571049 After training: 0.8381142098273573
Features ('age', 'workclass', 'education', 'marital-status', 'capital-loss', 'sex', 'hours-per-week'): Before training: 0.7543160690571049 After training: 0.8262284196547145
Features ('age', 'workclass', 'education', 'occupation', 'capital-gain', 'capital-loss', 'sex'): Before training: 0.7543160690571049 After training: 0.8288844621513944
Features ('age', 'workclass', 'education', 'occupation', 'capital-gain', 'capital-loss', 'hours-per-week'): Before training: 0.7543160690571049 After training: 0.8242363877822045
